Dealer Code,Record Updated dt,LOGIN,Location Code,Customer Name,Customer Code,Customer Category,Invoice Number,Invoice Date,Parent,Sale return Date,Invoice Status,Voucher,Type,Part No,Part Name,UOM,HSN Number,Product Type,Product Category,GST Category,GST Sub-Category,Quantity,Unit Price,Line Item Discount %,Line Item Discount,Net Selling Price,Assessable Value,VAT %,VAT Amount,Freight Amt,Packaging Charges,CGST %,CGST Amt,SGST %,SGST Amt,UT GST %,UT GST Amt,IGST %,IGST Amt,Additional Tax Amt,Additional Tax Amt2,Additional Tax Amt3,Additional Tax Amt4,Additional Tax Amt5,Cess %,Cess Amt,Total Invoice Amount,Narration,Cancellation Date,Invoice Format,Executive Name,Additional Discount %,Cash Discount %,Credit Days,Invoice Type,FRT PKG CGST %,FRT PKG CGST AMT,FRT PKG SGST/UTGST %,FRT PKG SGST/UTGST AMT,FRT PKG IGST %,FRT PKG IGST AMT,FRT PKG CESS %,FRT PKG CESS AMT
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,06435AABA00S,"KIT, PAD RR-06435AABA00S",PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,1420,33.87,480.954,939.046,939.046,,0,,,14,131.46644,14,131.46644,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,06455ABG010S,"KIT, PAD FR-06455ABG010S",PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,330,33.87,111.771,218.229,218.229,,0,,,14,30.55206,14,30.55206,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,11395AAH000S,GASKET L CRANK CASE COVER-11395AAH000S,PC,40169340,Spare Parts,HHML Parts,PARTS,PARTS18,10,70,27.25,19.075,50.925,509.25,,0,,,9,4.58325,9,4.58325,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,12251KST94099S,GASKET CYLINDER HEAD-12251KST94099S,PC,84841090,Spare Parts,HHML Parts,PARTS,PARTS18,5,205,27.25,55.8625,149.13749,745.68745,,0,,,9,13.42238,9,13.42238,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,14401AAD00099S,CAM CHAIN-14401AAD00099S,PC,73151100,Spare Parts,HHML Parts,PARTS,PARTS18,5,135,27.25,36.7875,98.21249,491.06245,,0,,,9,8.83913,9,8.83913,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,14500035020S,ARM COMP.CAM CHAINTENS.-14500035020S,PC,87149990,Spare Parts,HHML Parts,PARTS,PARTS28,3,56,33.87,18.9672,37.0328,111.0984,,0,,,14,5.18459,14,5.18459,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,14502086000RS,ROLLER CAM CHAIN TENSIONER-14502086000RS,PC,40169990,Spare Parts,HHML Parts,PARTS,PARTS18,5,72,27.25,19.62,52.38,261.9,,0,,,9,4.7142,9,4.7142,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,15100KCC900S,PUMP ASSY.OIL-15100KCC900S,PC,84133020,Spare Parts,HHML Parts,PARTS,PARTS28,2,335,33.87,113.4645,221.5355,443.071,,0,,,14,31.01497,14,31.01497,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17211KCC900LS,ELEMENT A AIR CLEANER-17211KCC900LS,PC,84213100,Spare Parts,HHML Parts,PARTS,PARTS18,10,86,27.25,23.435,62.565,625.65,,0,,,9,5.63085,9,5.63085,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17213AACA0099S,ELEMENT AIR CLEANER-17213AACA0099S,PC,84213100,Spare Parts,HHML Parts,PARTS,PARTS18,20,168,27.25,45.78,122.22,2444.4,,0,,,9,10.9998,9,10.9998,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17213KCC900LS,ELEMENT B AIR CLEANER-17213KCC900LS,PC,84213100,Spare Parts,HHML Parts,PARTS,PARTS18,10,36,27.25,9.81,26.19,261.9,,0,,,9,2.3571,9,2.3571,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17910ABA000S,CABLE COMP THROT-17910ABA000S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,3,90,33.87,30.483,59.517,178.551,,0,,,14,8.33238,14,8.33238,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17910KWA940S,CABLE COMP. THROT-17910KWA940S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,10,100,33.87,33.87,66.13,661.3,,0,,,14,9.2582,14,9.2582,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,17950AAW000S,CABLE COMP.CHOKE-17950AAW000S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,2,185,33.87,62.6595,122.3405,244.681,,0,,,14,17.12767,14,17.12767,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,20K1110S,CHAIN SPROCKET KIT-20K1110S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,10,860,33.87,291.282,568.718,5687.18,,0,,,14,79.62052,14,79.62052,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,20K211S,CHAIN SPROCKET KIT-SPLENDOR(Y2K)-20K211S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,5,740,33.87,250.638,489.362,2446.81,,0,,,14,68.51068,14,68.51068,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,20K411S,CHAIN SPROCKET KIT-PASSION PLUS-20K411S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,5,740,33.87,250.638,489.362,2446.81,,0,,,14,68.51068,14,68.51068,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,22K130LS,CAM.CHAIN KIT-22K130LS,PC,73151100,Spare Parts,HHML Parts,PARTS,PARTS18,3,450,27.25,122.625,327.375,982.125,,0,,,9,29.46375,9,29.46375,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,23121KST901S,GEAR PRIMARY DRIVE 18T-23121KST901S,PC,87141090,Spare Parts,HHML Parts,PARTS,PARTS28,1,290,33.87,98.223,191.777,191.777,,0,,,14,26.84878,14,26.84878,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,30700ACK00099S,CAP ASSY NOISE SUPPRESSOR-30700ACK00099S,PC,85361090,Spare Parts,HHML Parts,PARTS,PARTS18,10,92,27.25,25.07,66.93,669.3,,0,,,9,6.0237,9,6.0237,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,31120AAD001S,STATOR COMP.-31120AAD001S,PC,85114000,Spare Parts,HHML Parts,PARTS,PARTS28,1,1080,33.87,365.796,714.204,714.204,,0,,,14,99.98856,14,99.98856,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,31600KWA831S,REG RECT COMP-31600KWA831S,PC,85044029,Spare Parts,HHML Parts,PARTS,PARTS18,1,1220,27.25,332.45,887.55,887.55,,0,,,9,79.8795,9,79.8795,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,33100KCC710AS,LIGHT ASSY.HEAD (W/O BULB)-33100KCC710AS,PC,85122010,Spare Parts,HHML Parts,PARTS,PARTS18,5,505,27.25,137.6125,367.38749,1836.93745,,0,,,9,33.06488,9,33.06488,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,3310AABA001S,LIGHT ASSY HEAD W/O BULB-3310AABA001S,PC,85122010,Spare Parts,HHML Parts,PARTS,PARTS18,1,750,27.25,204.375,545.625,545.625,,0,,,9,49.10625,9,49.10625,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,3340AKCC710S,WINKER ASSY R FR(W/O BULB)-3340AKCC710S,PC,85122010,Spare Parts,HHML Parts,PARTS,PARTS18,10,195,27.25,53.1375,141.86249,1418.6249,,0,,,9,12.76763,9,12.76763,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
30410,45066,30410G01,B,J K HERO MOTORS30410-02-ARD-0920-12,30410-02-ARD-0920-12,ARD,30410BE23P3344,45066,Sale,,Open,Parts Invoice,Parts,3345AKCC710S,WINKER ASSY L FR(W/O BULB)-3345AKCC710S,PC,85122010,Spare Parts,HHML Parts,PARTS,PARTS18,10,195,27.25,53.1375,141.86249,1418.6249,,0,,,9,12.76763,9,12.76763,0,0,0,0,0,0,0,0,0,0,0,77169.89178,30410-02-PSAO-0523-4251,,Tax Invoice,VINAY BIKAMCHAND,,,,Credit,0,0,0,0,0,0,0,0
